State,Name,rep_sen,Party,Last,First,District,Handle
Alaska,"Sullivan, Dan",Senator,Republican,Sullivan,Dan,,SenDanSullivan
Florida,"Bilirakis, Gus M.",Representative,Republican,Bilirakis,Gus,Florida 12th District,RepGusBilirakis
Florida,"Crenshaw, Ander",Representative,Republican,Crenshaw,Ander,,AnderCrenshaw
Indiana,"Donnelly, Joe",Senator,Democratic,Donnelly,Joe,,SenDonnelly
Minnesota,"Emmer, Tom",Representative,Republican,Emmer,Tom,Minnesota 6th District,RepTomEmmer
Iowa,"Ernst, Joni",Senator,Republican,Ernst,Joni,,joniernst
California,"Feinstein, Dianne",Senator,Democratic,Feinstein,Dianne,,SenFeinstein
Arizona,"Grijalva, Raul M.",Representative,Democratic,Grijalva,Raul,Arizona 3rd District,RepRaulGrijalva
North Carolina,"Holding, George",Representative,Republican,Holding,George,North Carolina 2nd District,GeorgeHolding
Kansas,"Moran, Jerry",Senator,Republican,Moran,Jerry,,JerryMoran
Minnesota,"Nolan, Richard M.",Representative,Democratic,Nolan,Richard,,USRepRickNolan
New York,"Reed, Tom",Representative,Republican,Reed,Tom,New York 23rd District,RepTomReed
Georgia,"Scott, Austin",Representative,Republican,Scott,Austin,Georgia 8th District,AustinScottGA08
Georgia,"Scott, David",Representative,Democratic,Scott,David,Georgia 13th District,repdavidscott
Indiana,"Stutzman, Marlin A.",Representative,Republican,Stutzman,Marlin,,RepStutzman
Virginia,"Kaine, Tim",Senator,Democratic,Kaine,Tim,,timkaine
Michigan,"Kildee, Daniel T.",Representative,Democratic,Kildee,Daniel,Michigan 5th District,RepDanKildee
California,"Knight, Stephen",Representative,Republican,Knight,Stephen,,SteveKnight25
Colorado,"Lamborn, Doug",Representative,Republican,Lamborn,Doug,Colorado 5th District,RepDLamborn
New Hampshire,"Ayotte, Kelly",Senator,Republican,Ayotte,Kelly,,KellyAyotte
California,"Nunes, Devin",Representative,Republican,Nunes,Devin,California 22nd District,Rep_DevinNunes
New Jersey,"Payne, Donald M., Jr.",Representative,Democratic,Payne,Donald,,RepDonaldPayne
California,"Sanchez, Linda T.",Representative,Democratic,Sanchez,Linda,,RepLindaSanchez
California,"Torres, Norma J.",Representative,Democratic,Torres,Norma,California 35th District,NormaJTorres
Ohio,"Joyce, David P.",Representative,Republican,Joyce,David,Ohio 14th District,RepDaveJoyce
Texas,"Gohmert, Louie",Representative,Republican,Gohmert,Louie,Texas 1st District,replouiegohmert
Maryland,"Delaney, John K.",Representative,Democratic,Delaney,John,Maryland 6th District,RepJohnDelaney
Nebraska,"Fortenberry, Jeff",Representative,Republican,Fortenberry,Jeff,Nebraska 1st District,JeffFortenberry
Texas,"Williams, Roger",Representative,Republican,Williams,Roger,Texas 25th District,RepRWilliams
New York,"King, Peter T.",Representative,Republican,King,Peter,,RepPeteKing
Texas,"Marchant, Kenny",Representative,Republican,Marchant,Kenny,Texas 24th District,RepKenMarchant
South Carolina,"Mulvaney, Mick",Representative,Republican,Mulvaney,Mick,South Carolina 5th District,RepMickMulvaney
Pennsylvania,"Shuster, Bill",Representative,Republican,Shuster,Bill,Pennsylvania 9th District,RepBillShuster
South Dakota,"Thune, John",Senator,Republican,Thune,John,,SenJohnThune
Virginia,"Beyer, Donald S., Jr.",Representative,Democratic,Beyer,Donald,,RepDonBeyer
Pennsylvania,"Cartwright, Matt",Representative,Democratic,Cartwright,Matt,,RepDonBeyer
North Carolina,"Ellmers, Renee L.",Representative,Republican,Ellmers,Renee,,RepReneeEllmers
California,"Boxer, Barbara",Senator,Democratic,Boxer,Barbara,,SenatorBoxer
Arizona,"Flake, Jeff",Senator,Republican,Flake,Jeff,,JeffFlake
Nevada,"Hardy, Cresent",Representative,Republican,Hardy,Cresent,,RepHardy
New York,"Higgins, Brian",Representative,Democratic,Higgins,Brian,New York 26th District,RepBrianHiggins
Minnesota,"Walz, Timothy J.",Representative,Democratic,Walz,Timothy,Minnesota 1st District,RepTimWalz
Virginia,"Warner, Mark R.",Senator,Democratic,Warner,Mark,,MarkWarner
Oregon,"Walden, Greg",Representative,Republican,Walden,Greg,Oregon 2nd District,repgregwalden
California,"Bera, Ami",Representative,Democratic,Bera,Ami,California 7th District,RepBera
Missouri,"Cleaver, Emanuel",Representative,Democratic,Cleaver,Emanuel,Missouri 5th District,repcleaver
California,"Cook, Paul",Representative,Republican,Cook,Paul,California 8th District,RepPaulCook
Maryland,"Cummings, Elijah E.",Representative,Democratic,Cummings,Elijah,Maryland 7th District,RepCummings
California,"Denham, Jeff",Representative,Republican,Denham,Jeff,California 10th District,RepJeffDenham
Tennessee,"Duncan, John J., Jr.",Representative,Republican,Duncan,John,,RepJohnDuncanJr
Virginia,"Hurt, Robert",Representative,Republican,Hurt,Robert,,RepRobertHurt
Georgia,"Isakson, Johnny",Senator,Republican,Isakson,Johnny,,SenatorIsakson
Iowa,"King, Steve",Representative,Republican,King,Steve,Iowa 4th District,SteveKingIA
New Hampshire,"Kuster, Ann M.",Representative,Democratic,Kuster,Ann,New Hampshire 2nd District,RepAnnieKuster
Georgia,"Loudermilk, Barry",Representative,Republican,Loudermilk,Barry,Georgia 11th District,RepLoudermilk
American Samoa,"Radewagen, Aumua Amata Coleman",Representative,Republican,Radewagen,Aumua,,RepAmata
Arizona,"Salmon, Matt",Representative,Republican,Salmon,Matt,,saknibcibgress
Illinois,"Schock, Aaron",Representative,Republican,Schock,Aaron,,NA
Virginia,"Scott, Robert C. &#34;Bobby&#34;",Representative,Democratic,Scott,Robert,Virginia 3rd District,repbobbyscott
Michigan,"Upton, Fred",Representative,Republican,Upton,Fred,Michigan 6th District,RepFredUpton
Kentucky,"Barr, Andy",Representative,Republican,Barr,Andy,Kentucky 6th District,RepAndyBarr
Oklahoma,"Bridenstine, Jim",Representative,Republican,Bridenstine,Jim,Oklahoma 1st District,RepJBridenstine
South Carolina,"Clyburn, James E.",Representative,Democratic,Clyburn,James,South Carolina 6th District,Clyburn
Louisiana,"Fleming, John",Representative,Republican,Fleming,John,,RepFleming
Iowa,"Grassley, Chuck",Senator,Republican,Grassley,Chuck,,ChuckGrassley
New Jersey,"Lance, Leonard",Representative,Republican,Lance,Leonard,New Jersey 7th District,RepLanceNJ7
Missouri,"Long, Billy",Representative,Republican,Long,Billy,Missouri 7th District,USRepLong
Minnesota,"McCollum, Betty",Representative,Democratic,McCollum,Betty,Minnesota 4th District,BettyMcCollum04
Maine,"Poliquin, Bruce",Representative,Republican,Poliquin,Bruce,Maine 2nd District,RepPoliquin
Ohio,"Portman, Rob",Senator,Republican,Portman,Rob,,SenRobPortman
Wisconsin,"Ribble, Reid J.",Representative,Republican,Ribble,Reid,,RepRibble
Florida,"Rooney, Thomas J.",Representative,Republican,Rooney,Thomas,,TomRooney
Wisconsin,"Ryan, Paul",Representative,Republican,Ryan,Paul,Wisconsin 1st District,RepPaulRyan
Arkansas,"Womack, Steve",Representative,Republican,Womack,Steve,Arkansas 3rd District,rep_stevewomack
Iowa,"Young, David",Representative,Republican,Young,David,Iowa 3rd District,RepDavidYoung
Montana,"Zinke, Ryan K.",Representative,Republican,Zinke,Ryan,Montana At-Large,RepRyanZinke
California,"McCarthy, Kevin",Representative,Republican,McCarthy,Kevin,California 23rd District,GOPLeader
Indiana,"Messer, Luke",Representative,Republican,Messer,Luke,Indiana 6th District,RepLukeMesser
Alabama,"Palmer, Gary J.",Representative,Republican,Palmer,Gary,Alabama 6th District,USRepGaryPalmer
Minnesota,"Paulsen, Erik",Representative,Republican,Paulsen,Erik,Minnesota 3rd District,RepErikPaulsen
South Carolina,"Rice, Tom",Representative,Republican,Rice,Tom,South Carolina 7th District,RepTomRice
North Carolina,"Rouzer, David",Representative,Republican,Rouzer,David,North Carolina 7th District,RepDavidRouzer
Arizona,"Sinema, Kyrsten",Representative,Democratic,Sinema,Kyrsten,Arizona 9th District,RepSinema
Nebraska,"Ashford, Brad",Representative,Democratic,Ashford,Brad,,RepBradAshford
