Username,Screenname,Time,Text,Retweets,Favorites
b'Michael',b'michael91128',2018-09-07 03:05:32,b'RT @FortyDeuceTwits: Naomi Osaka just saved 13 of 13 break points to advance to her 1st US Open final in straight sets.\n\nThat\xe2\x80\x99s scoring 100\xe2\x80\xa6',0,0
b'Tyler Olea',b'Tyler_Olea',2018-09-07 03:05:32,"b'@nytimes Look out students, might have to rely on your test scores and not your skin color after Kavanaugh gets confirmed...'",0,0
b'Human1st',b'Human1st',2018-09-07 03:05:32,b'@DearAuntCrabby All WH staff should agree to the lie detector test on 1 condition. The President answers this quest\xe2\x80\xa6 https://t.co/yPXXIugWVv',0,0
b'Joran Elias',b'joranelias',2018-09-07 03:05:32,b'Unpopular opinion: You shouldn\xe2\x80\x99t be allowed to tweet until you\xe2\x80\x99ve learned to express your idea in a way that doesn\xe2\x80\x99\xe2\x80\xa6 https://t.co/mqG3hWZNvP',0,0
b'\xe3\x82\xb8\xe3\x83\xa7\xe3\x83\xbc\xe3\x82\xb8\xe3\x83\xbb\xe3\x83\x8f\xe3\x83\xaa\xe3\x82\xb9\xe3\x83\xb3',b'r2QnR1oxcfXLUeN',2018-09-07 03:05:33,"b'""\xe3\x82\xb8\xe3\x83\xa7\xe3\x83\xbc\xe3\x82\xb8\xe3\x83\xbb\xe3\x83\x8f\xe3\x83\xaa\xe3\x82\xb9\xe3\x83\xb3\xe3\x81\xae\xe6\x83\x85\xe5\xa0\xb1\xe3\x82\x92\xe8\xbc\x89\xe3\x81\x9b\xe3\x81\xa8\xe3\x81\x8d\xe3\x81\xbe\xe3\x81\x99\xef\xbc\x81\n\xe4\xbb\x8a\xe6\x97\xa5\xe3\x81\xaf\xe3\x80\x81\xe3\x82\xb3\xe3\x83\xac\xe2\x86\x93\nhttps://t.co/ITqHSoFqkV""'",0,0
b'Talent',b'talentxco',2018-09-07 03:05:33,b'New top story on Hacker News: Huawei caught cheating performance test for new phones https://t.co/1mwVqSPjzF',0,0
b'PTE - IELTS YOUTUBE',b'IeltsListening',2018-09-07 03:05:33,b'IELTS Listening test 7.09.2018 with ANSWERS \xf0\x9f\x98\x87 BEST TEST - 2018: https://t.co/uvo4LxcvlD via @YouTube',0,0
b'Kristin Norris',b'tucker08087',2018-09-07 03:05:35,b'@TheDemCoalition Hey! Here\xe2\x80\x99s an idea! How about if EVERYONE in the White House takes a lie detector test! Test Ques\xe2\x80\xa6 https://t.co/4RaaNVnnNA',0,0
b'American',b'Broken_American',2018-09-07 03:05:35,b'@AynRandPaulRyan @ChrisCuomo We also don\xe2\x80\x99t need him to run through the religious freedom legal doctrine. Ted Cruz k\xe2\x80\xa6 https://t.co/958TKqZlfg',0,0
b'marion jude',b'imjudechavez_',2018-09-07 03:05:36,"b'RT @ElctroLychee: Drug Test na sa UST!\n\nStay High, Senior High! \xf0\x9f\x8c\xac'",0,0
