Party	Name	Handle	Class
right	glenn beck	glennbeck	Pundit
right	Michelle Malkin	michellemalkin	Pundit
right	Ben Shapiro	benshapiro	Pundit
right	Steven Crowder	scrowder	Pundit
right	Sean Hannity	seanhannity	Pundit
right	Rush Limbaugh	rushlimbaugh	Pundit
right	Alex Jones	RealAlexJones	Pundit
right	Ann Coulter	AnnCoulter	Pundit
right	Laura Ingraham	IngrahamAngle	Pundit
right	Bill O'Reilly	BillOReilly	Pundit
right	Tucker Carlson	TuckerCarlson	Pundit
right	Mark Levin	marklevinshow	Pundit
right	Dana Loesch	Dloesch	Pundit
right	Lou Dobbs	LouDobbs	Pundit
right	Jeanine Pirro	JudgeJeanine	Pundit
right	Tomi Lahren	TomiLahren	Pundit
right	Dana Perino	DanaPerino	Pundit
right	Sarah Palin	SarahPalinUSA	Pundit
right	Brit Hume	brithume	Pundit
right	Dennis Miller	DennisDMZ	Pundit
right	Jonah Goldberg	JonahNRO	Pundit
right	Dennis Prager	DennisPrager	Pundit
right	Jordan Peterson	jordanbpeterson	Pundit
right	Lauren Southern	Lauren_Southern	Pundit
right	David Brooks	nytdavidbrooks	Pundit
right	Charles Krauthammer	krauthammer	Pundit
right	Erick Erickson	EWErickson	Pundit
left	Ezra Klein	ezraklein	Pundit
left	Rachel Maddow	MaddowBlog	Pundit
left	Paul Krugman	paulkrugman	Pundit
left	Jessica Valenti	Jessica Valenti	Pundit
left	Chris Hayes	chrislhayes	Pundit
left	Thom Hartmann	Thom_Hartmann	Pundit
left	lawrence O'Donnell	Lawrence	Pundit
left	Jon Favreau	jonfavs	Pundit
left	glenn greenwald	ggreenwald	Pundit
left	mehdi hasan	mehdirhasan	Pundit
left	Alan Colmes	AlanColmes	Pundit
left	steve benen	stevebenen	Pundit
left	duncan black	Atrios	Pundit
left	Kevin Drum	kdrum	Pundit
left	Cenk Uygur	cenkuygur	Pundit
left	Matthew Yglesias	mattyglesias	Pundit
left	michael moore	MMFlint	Pundit
left	Patrisse Cullors	OsopePatrisse	Pundit
left	Jeet Heer	HeerJeet	Pundit
left	Yashar Ali	yashar	Pundit
left	Parker Molloy	ParkerMolloy	Pundit
left	David Hogg	davidhogg111	Pundit
left	Matt O'Brien	ObsoleteDogma	Pundit
left	Imani Gandy	AngryBlackLady	Pundit
left	Bill McKibben	billmckibben	Pundit
left	Melissa Harris-Perry	MHarrisPerry	Pundit
Republican	"Sullivan, Dan"	SenDanSullivan	Politician
Republican	"Bilirakis, Gus M."	RepGusBilirakis	Politician
Republican	"Crenshaw, Ander"	AnderCrenshaw	Politician
Democratic	"Donnelly, Joe"	SenDonnelly	Politician
Republican	"Emmer, Tom"	RepTomEmmer	Politician
Republican	"Ernst, Joni"	joniernst	Politician
Democratic	"Feinstein, Dianne"	SenFeinstein	Politician
Democratic	"Grijalva, Raul M."	RepRaulGrijalva	Politician
Republican	"Holding, George"	GeorgeHolding	Politician
Republican	"Moran, Jerry"	JerryMoran	Politician
Democratic	"Nolan, Richard M."	USRepRickNolan	Politician
Republican	"Reed, Tom"	RepTomReed	Politician
Republican	"Scott, Austin"	AustinScottGA08	Politician
Democratic	"Scott, David"	repdavidscott	Politician
Republican	"Stutzman, Marlin A."	RepStutzman	Politician
Democratic	"Kaine, Tim"	timkaine	Politician
Democratic	"Kildee, Daniel T."	RepDanKildee	Politician
Republican	"Knight, Stephen"	SteveKnight25	Politician
Republican	"Lamborn, Doug"	RepDLamborn	Politician
Republican	"Ayotte, Kelly"	KellyAyotte	Politician
Republican	"Nunes, Devin"	Rep_DevinNunes	Politician
Democratic	"Payne, Donald M., Jr."	RepDonaldPayne	Politician
Democratic	"Sanchez, Linda T."	RepLindaSanchez	Politician
Democratic	"Torres, Norma J."	NormaJTorres	Politician
Republican	"Joyce, David P."	RepDaveJoyce	Politician
Republican	"Gohmert, Louie"	replouiegohmert	Politician
Democratic	"Delaney, John K."	RepJohnDelaney	Politician
Republican	"Fortenberry, Jeff"	JeffFortenberry	Politician
Republican	"Williams, Roger"	RepRWilliams	Politician
Republican	"King, Peter T."	RepPeteKing	Politician
Republican	"Marchant, Kenny"	RepKenMarchant	Politician
Republican	"Mulvaney, Mick"	RepMickMulvaney	Politician
Republican	"Shuster, Bill"	RepBillShuster	Politician
Republican	"Thune, John"	SenJohnThune	Politician
Democratic	"Beyer, Donald S., Jr."	RepDonBeyer	Politician
Democratic	"Cartwright, Matt"	RepDonBeyer	Politician
Republican	"Ellmers, Renee L."	RepReneeEllmers	Politician
Democratic	"Boxer, Barbara"	SenatorBoxer	Politician
Republican	"Flake, Jeff"	JeffFlake	Politician
Republican	"Hardy, Cresent"	RepHardy	Politician
Democratic	"Higgins, Brian"	RepBrianHiggins	Politician
Democratic	"Walz, Timothy J."	RepTimWalz	Politician
Democratic	"Warner, Mark R."	MarkWarner	Politician
Republican	"Walden, Greg"	repgregwalden	Politician
Democratic	"Bera, Ami"	RepBera	Politician
Democratic	"Cleaver, Emanuel"	repcleaver	Politician
Republican	"Cook, Paul"	RepPaulCook	Politician
Democratic	"Cummings, Elijah E."	RepCummings	Politician
Republican	"Denham, Jeff"	RepJeffDenham	Politician
Republican	"Duncan, John J., Jr."	RepJohnDuncanJr	Politician
