Username,Screenname,Text,Time,Retweets,Favorites
Donald J. Trump,realDonaldTrump,"Today, on the 236th anniversary of the Purple Heart, we honor the members of our Armed Forces for serving as the vanguard of American democracy and freedom around the world. #PurpleHeartDay https://t.co/NghmQ4BOKh",2018-08-07 18:25:13,11869,48946
Donald J. Trump,realDonaldTrump,RT @EricTrump: Ohio make sure to get out and vote today! We need Troy Balderson in Congress. Visit https://t.co/ypMnbPQzqk to find your pol…,2018-08-07 14:03:05,11383,0
Donald J. Trump,realDonaldTrump,"Ohio, vote today for Troy Balderson for Congress. His opponent, controlled by Nancy Pelosi, is weak on Crime, the Border, Military, Vets, your 2nd Amendment - and will end your Tax Cuts. Troy will be a great Congressman. #MAGA",2018-08-07 10:46:45,20528,70776
Donald J. Trump,realDonaldTrump,"The Iran sanctions have officially been cast. These are the most biting sanctions ever imposed, and in November they ratchet up to yet another level. Anyone doing business with Iran will NOT be doing business with the United States. I am asking for WORLD PEACE, nothing less!",2018-08-07 09:31:46,31960,113146
Donald J. Trump,realDonaldTrump,California wildfires are being magnified &amp; made so much worse by the bad environmental laws which aren’t allowing massive amounts of readily available water to be properly utilized. It is being diverted into the Pacific Ocean. Must also tree clear to stop fire from spreading!,2018-08-06 21:53:42,16121,66421
Donald J. Trump,realDonaldTrump,"Democrats want Open Borders and they want to abolish ICE, the brave men and women that are protecting our Country from some of the most vicious and dangerous people on earth! Sorry, we can’t let that happen! Also, change the rules in the Senate and approve STRONG Border Security!",2018-08-06 21:46:47,22476,84073
Donald J. Trump,realDonaldTrump,"RT @realDonaldTrump: Presidential Approval numbers are very good - strong economy, military and just about everything else. Better numbers…",2018-08-06 21:44:00,27992,0
Donald J. Trump,realDonaldTrump,"John James is a potential Republican Star who has a Senate primary election tomorrow in Michigan. If he becomes the Republican candidate, he will beat the Open Borders, weak on Crime, Democrat, Debbie Stabenow. Vote for John James and Make America Great Again!",2018-08-06 19:13:42,19807,68546
Donald J. Trump,realDonaldTrump,"Governor Jerry Brown must allow the Free Flow of the vast amounts of water coming from the North and foolishly being diverted into the Pacific Ocean. Can be used for fires, farming and everything else. Think of California with plenty of Water - Nice! Fast Federal govt. approvals.",2018-08-06 17:43:57,18222,67902
Donald J. Trump,realDonaldTrump,"Kris Kobach, a strong and early supporter of mine, is running for Governor of the Great State of Kansas.  He is a fantastic guy who loves his State and our Country - he will be a GREAT Governor and has my full &amp; total Endorsement! Strong on Crime, Border &amp; Military. VOTE TUESDAY!",2018-08-06 15:48:40,17606,70474
Kamala Harris,KamalaHarris,"By the end of their careers, on average Black women will have been paid about $840,000 less than their white male counterparts. That’s money that could have gone into student loans, rent, and groceries. Long past time to close the gap. #BlackWomensEqualPayDay",2018-08-08 02:20:00,364,902
Kamala Harris,KamalaHarris,"When those in power lift up Black artists, a chain reaction starts until—as @Beyonce puts it—“there is a mosaic of perspectives.” Congrats @Tyler_Mitchell_ on becoming the first Black photographer to shoot the cover of @voguemagazine in 126 years! An historic and stunning cover. https://t.co/fKQwO9clVq",2018-08-08 01:18:02,223,1036
Kamala Harris,KamalaHarris,"Income equality is one of the most pressing issues of our time. As the gap between the rich and the poor continues to grow, it’s becoming harder for working-class Americans to make ends meet. 
https://t.co/2w8TU1zeN3",2018-08-07 23:05:00,549,1193
Kamala Harris,KamalaHarris,"Republicans are gearing up to try to take health care away from millions of Americans (again) if they win big in November. 

This is what’s at stake in the midterms. Make no mistake, every single voice counts. 
https://t.co/S5PMbQg7T5",2018-08-07 21:40:02,2225,3294
Kamala Harris,KamalaHarris,"Please consider making a contribution to support six local nonprofits that are working to help those displaced and hurt by the fires in California. Any amount you can give will make a difference. 
https://t.co/OImFB0WIsW",2018-08-07 20:51:00,232,351
Kamala Harris,KamalaHarris,"This is outrageous. Legally using Obamacare or food assistance shouldn’t disqualify immigrants from becoming citizens. 
https://t.co/lfZ1knbvrq",2018-08-07 19:22:00,2346,5825
Kamala Harris,KamalaHarris,"It’s #ElectionDay in Kansas, Michigan, Missouri, Washington, and Ohio-12. If you have friends or family that lives in one of those states, be sure to remind them to get out and vote.",2018-08-07 18:16:01,1269,2615
Kamala Harris,KamalaHarris,"63 cents on the dollar. 

That’s how much Black women on average are paid compared to white, non-Hispanic men. That missing 37 cents on each dollar earned can add up to a devastating economic disadvantage for Black women. #BlackWomensEqualPay",2018-08-07 17:00:25,2372,5498
Kamala Harris,KamalaHarris,"Black women on average have to work 8 extra months just to be paid the same white men make in 12 months. This #BlackWomensEqualPay Day, let’s continue to advocate for pay transparency, address occupational roadblocks that exist for Black women &amp; work to raise the minimum wage. https://t.co/7DmqqTKjLc",2018-08-07 16:12:02,1450,2362
Kamala Harris,KamalaHarris,"Thankful for all of California’s firefighters and those who have come in from other states to battle these blazes. As this fire continues to grow, please listen to any evacuation orders from local officials. 
https://t.co/bVXdTrTW9K",2018-08-07 14:39:08,604,2274
